Publish Date,Publisher,Title,Written by
2021 Aug 25,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,[Research on the influence of mental fatigue on information resources allocation of working memory].,Peng S et al.
2021 Aug 25,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,[Electroencephalogram feature extraction and classification of autistic children based on recurrence quantification analysis].,Kang J et al.
2021 Aug 25,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,[Research on enhancement of mental rotation ability based on transcranial direct current stimulation].,Li Q et al.
2021,Front Neurol,Auditory Comprehension Deficits in Post-stroke Aphasia: Neurologic and Demographic Correlates of Outcome and Recovery.,Baldo JV et al.
2021,Contrast Media Mol Imaging,The Value of Brain Resting-State Functional Magnetic Resonance Imaging on Image Registration Algorithm in Analyzing Abnormal Changes of Neuronal Activity in Patients with Type 2 Diabetes.,Hu C et al.
2021 Aug 29,Brain Struct Funct,Endocranial asymmetry in New World monkeys: a comparative phylogenetic analysis of morphometric data.,Perez SI et al.
2021 Nov,Neuroimage,Brain state kinematics and the trajectory of task performance improvement.,Shine JM et al.
2021 Oct 15,Neuropsychologia,"""Scene"" from inside: The representation of Observer's space in high-level visual cortex.",Park S et al.
2021 Oct,Clin Neurophysiol,Spontaneous modulations of high-frequency cortical activity.,Asano E et al.
2021 Aug 27,Nat Commun,Stimulus-dependent representational drift in primary visual cortex.,Goard MJ et al.
2021 Aug 27,Nat Commun,Stable representation of a naturalistic movie emerges from episodic activity with gain variability.,Wessel R et al.
2021 Oct,Cortex,Somatosensory contribution to audio-visual speech processing.,Gracco VL et al.
2021 Aug 5,Tomography,The Significance of Echo Time in fMRI BOLD Contrast: A Clinical Study during Motor and Visual Activation Tasks at 1.5 T.,Marias K et al.
2021 Nov,Exp Brain Res,Posterior brain sensorimotor recruitment for inhibition of delayed responses in children.,Pesko JC et al.
2021 Aug 26,Brain Imaging Behav,Anatomy and white-matter connections of the precuneus.,Sughrue ME et al.
2021 Oct,Trends Neurosci,Probing mechanisms of visual spatial attention in mice.,Haider B et al.
2021 Aug 19,Int J Mol Sci,OTX2 Homeoprotein Functions in Adult Choroid Plexus.,Di Nardo AA et al.
2021 Aug 20,Cancers (Basel),"Neuroinflammation and Its Association with Cognition, Neuronal Markers and Peripheral Inflammation after Chemotherapy for Breast Cancer.",Deprez S et al.
2021,PLoS One,Multiple states in ongoing neural activity in the rat visual cortex.,Matsumoto N et al.
2021,Biomed Res Int,Correlation of Neuroimaging Findings with Clinical Presentation and Laboratory Data in Patients with COVID-19: A Single-Center Study.,Kaya S et al.
2021 Oct 13,J Neurosci,Excitatory Contribution to Binocular Interactions in Human Visual Cortex Is Reduced in Strabismic Amblyopia.,Verghese P et al.
2021 Aug 25,Aging (Albany NY),The interplay between gray matter and white matter neurodegeneration in subjective cognitive decline.,Ferreira D et al.
2021 Aug 25,Brain Imaging Behav,The relationship between cognitive ability and BOLD activation across sleep-wake states.,Fogel S et al.
2021 Dec,Magn Reson Med,Improved prospective frequency correction for macromolecule-suppressed GABA editing with metabolite cycling at 3T.,Henning A et al.
2021 Jul,Cureus,Cerebellar Hemangioblastoma Associated With a Vascular Malformation: A Case Report Treated With Surgery and Radiosurgery.,Mori Y et al.
2021 May 1,J Cogn Neurosci,Deep Predictive Learning in Neocortex and Pulvinar.,Rohrlich J et al.
2021 Sep,Indian J Ophthalmol,Normative values of visual evoked potential in adults.,Ngantung DJ et al.
2021 Aug 23,Sci Rep,Microendoscopic calcium imaging of the primary visual cortex of behaving macaques.,Sakagami M et al.
2021 Aug 23,Sci Rep,GABAergic inhibition in the human visual cortex relates to eye dominance.,Bridge H et al.
2021 Dec 1,Neuroscience,Neurofeedback Training of the Control Network in Children Improves Brain Computer Interface Performance.,Gao X et al.
2021 Oct 15,Neuropsychologia,V5/MT+ modulates spatio-temporal integration differently across and within hemifields: Causal evidence from TMS.,Müller HJ et al.
2021 Aug 23,Neuroradiol J,Voxel-based map of the inter-arterial watershed zones in children.,Andronikou S et al.
2021 Sep 29,J Neurosci,Visual Cortical Area MT Is Required for Development of the Dorsal Stream and Associated Visuomotor Behaviors.,Bourne JA et al.
2021 Aug 20,BMC Neurosci,Brain multimodal co-alterations related to delay discounting: a multimodal MRI fusion analysis in persons with and without cocaine use disorder.,Sui J et al.
2021 Oct 15,Neuropsychologia,Neural basis underlying the relation between boredom proneness and procrastination: The role of functional coupling between precuneus/cuneus and posterior cingulate cortex.,Feng T et al.
2021 Aug 20,J Cereb Blood Flow Metab,A line through the brain: implementation of human line-scanning at 7T for ultra-high spatiotemporal resolution fMRI.,Siero JCW et al.
2021 Aug 20,Medicine (Baltimore),Comparison of functional dorsal attention network alterations in breast cancer survivors before and after chemotherapy.,Weng JC et al.
2021 May-Aug,Case Rep Ophthalmol,Migraine-Like Positive Visual Phenomena Related to Focal Cortical Lesions with Undetectable Visual Field Defects.,Micieli JA et al.
2021 Aug 19,Sci Rep,Regional grey matter microstructural changes and volume loss according to disease duration in multiple sclerosis patients.,Llufriu S et al.
2021 Oct 6,J Neurosci,Ultra-High-Field Neuroimaging Reveals Fine-Scale Processing for 3D Perception.,Kourtzi Z et al.
2021 Oct 13,J Neurosci,Identification of Pattern Completion Neurons in Neuronal Ensembles Using Probabilistic Graphical Models.,Yuste R et al.
2021,IEEE Trans Neural Syst Rehabil Eng,Brain Dynamics of Spatial Reference Frame Proclivity in Active Navigation.,Lin CT et al.
2021 Sep 1,J Cogn Neurosci,Dissociable Contribution of Extrastriate Responses to Representational Enhancement of Gaze Targets.,Noudoost B et al.
2021 Aug 17,Alzheimers Res Ther,Visuospatial alpha and gamma oscillations scale with the severity of cognitive dysfunction in patients on the Alzheimer's disease spectrum.,Wilson TW et al.
2021 Aug 17,Elife,The development of active binocular vision under normal and alternate rearing conditions.,Triesch J et al.
2021 Sep,Brain Topogr,Unilateral Blinking: Insights from Stereo-EEG and Tractography.,Noachtar S et al.
2021 Aug,PLoS Comput Biol,A strategy for mapping biophysical to abstract neuronal network models applied to primary visual cortex.,Graham LJ et al.
2021,Contrast Media Mol Imaging,The Efficacy of Radiotherapy for Nasopharyngeal Carcinoma under Magnetic Resonance Imaging.,Chang Z et al.
2021 Aug 13,Nat Commun,A direct interareal feedback-to-feedforward circuit in primate visual cortex.,Angelucci A et al.
2021 Aug,PLoS Comput Biol,Unveiling functions of the visual cortex using task-specific deep neural networks.,Roig G et al.
2021 Sep 15,Neurosurgery,Surgery of Insular Diffuse Gliomas-Part 2: Probabilistic Cortico-Subcortical Atlas of Critical Eloquent Brain Structures and Probabilistic Resection Map During Transcortical Awake Resection.,Dezamis E et al.
2021 Dec,Brain Struct Funct,"Cytochrome oxidase ""blobs"": a call for more anatomy.",Rockland KS et al.
2021,Mol Imaging,The Evaluation of Tau Deposition with [18F]PI-2620 by Using a Semiquantitative Method in Cognitively Normal Subjects and Patients with Mild Cognitive Impairment and Alzheimer's Disease.,Chotipanich C et al.
2021 Aug 10,Sci Rep,Optimal flickering light stimulation for entraining gamma waves in the human brain.,Kim KW et al.
2021 Aug 1,J Cogn Neurosci,Intracranial Recordings Demonstrate Both Cortical and Medial Temporal Lobe Engagement in Visual Search in Humans.,Knight RT et al.
2021 Aug 10,Elife,Causal neural mechanisms of context-based object recognition.,Peelen MV et al.
2021 Jul 31,Sensors (Basel),Neural Dynamics of Target Detection via Wireless EEG in Embodied Cognition.,Ko LW et al.
2021 Aug 9,Eur Arch Otorhinolaryngol,The role of cochlear implant positioning on MR imaging quality: a preclinical in vivo study with a novel implant magnet system.,Benazzo M et al.
2021 Aug 6,Sci Rep,Suppression of top-down influence decreases neuronal excitability and contrast sensitivity in the V1 cortex of cat.,Hua T et al.
2021 Aug 6,Nat Commun,Holistic face recognition is an emergent phenomenon of spatial processing in face-selective regions.,Grill-Spector K et al.
2021,Front Vet Sci,Focal Cortical Resection and Hippocampectomy in a Cat With Drug-Resistant Structural Epilepsy.,Uchida K et al.
2021 Aug 5,Nat Commun,Working memory representations in visual cortex mediate distraction effects.,Curtis CE et al.
2021 Aug 10,Proc Natl Acad Sci U S A,A theory of direction selectivity for macaque primary visual cortex.,Young LS et al.
2021 Jul,Ann Palliat Med,Interhemispheric resting-state functional connectivity abnormalities in type 2 diabetes patients.,Cui J et al.
2021 Aug 2,J Vis,Biased orientation representations can be explained by experience with nonuniform training set statistics.,Serences JT et al.
2021 Sep 1,J Neurosci,Cortical Visual Mapping following Ocular Gene Augmentation Therapy for Achromatopsia.,Banin E et al.
2021 Oct 1,J Cogn Neurosci,Common and Distinct Roles of Frontal Midline Theta and Occipital Alpha Oscillations in Coding Temporal Intervals and Spatial Distances.,Ekstrom A et al.
2021 Aug,PLoS Comput Biol,The unbiased estimation of the fraction of variance explained by a model.,Bair W et al.
2021 Dec,Brain Struct Funct,Human primary visual cortex shows larger population receptive fields for binocular disparity-defined stimuli.,Bridge H et al.
2021 Nov,Psychiatry Clin Neurosci,Widespread and interrelated gray matter reductions in child sexual offenders with and without pedophilia: Evidence from a multivariate structural MRI study.,Müller JL et al.
2021 Aug 3,Sci Rep,Regional metabolic and network changes in Meige syndrome.,Ding H et al.
2021 Aug 3,BMJ Case Rep,"Sudden, severe bilateral vision loss after coronary artery bypass grafting.",Margolin EA et al.
2021 Aug 3,Elife,Cortical magnification in human visual cortex parallels task performance around the visual field.,Winawer J et al.
2021 Aug 3,Elife,A quadratic model captures the human V1 response to variations in chromatic direction and contrast.,Brainard D et al.
2021 Aug,PLoS Comput Biol,Topology-preserving smoothing of retinotopic maps.,Wang Y et al.
2021,Restor Neurol Neurosci,Simultaneously stimulating both brain hemispheres by rTMS in patients with unilateral brain lesions decreases interhemispheric asymmetry.,He R et al.
2021 Oct,Asian J Psychiatr,Association of altered cortical gyrification and psychopathological symptoms in patients with first-episode drug-naïve schizophrenia.,Zhang X et al.
2021 Sep 17,Neuropsychologia,Reward motivation increases univariate activity but has limited effect on coding of task-relevant information across the frontoparietal cortex.,Erez Y et al.
2021 Sep 22,J Neurosci,History Modulates Early Sensory Processing of Salient Distractors.,Serences JT et al.
2021 Jul 30,Elife,Sensory coding and the causal impact of mouse cortex in a visual decision.,Harris KD et al.
2021 Jul 30,Elife,Long-term stability of cortical ensembles.,Yuste R et al.
2021 Jul 30,Can Assoc Radiol J,Ultra-High Field 7-Tesla Magnetic Resonance Imaging and Electroencephalography Findings in Epilepsy.,Khan AR et al.
2021 Jun,Cureus,Meningeal Hemangiopericytoma Presenting as Pure Gerstmann Syndrome: A Double Rarity.,Shaikh N et al.
2021,Neuropsychiatr Dis Treat,Regional Ictal Hyperperfusion in the Contralateral Occipital Area May Be a Poor Prognostic Marker of Anterior Temporal Lobectomy: A SISCOM Analysis of MTLE Cases.,Shon YM et al.
2021 Jul 29,Sci Rep,Early visual processing relevant to the reduction of adaptation-induced perceptual bias.,Araki O et al.
2021 Jul 29,Sci Rep,Clustering and control for adaptation uncovers time-warped spike time patterns in cortical networks in vivo.,Luhmann HJ et al.
2021 Sep,Parkinsonism Relat Disord,White matter alterations in Parkinson's disease with levodopa-induced dyskinesia.,Hattori N et al.
2021 Jul 29,Elife,Interrogating theoretical models of neural computation with emergent property inference.,Cunningham J et al.
2021 Sep 15,J Neurosci,An Anatomically Constrained Model of V1 Simple Cells Predicts the Coexistence of Push-Pull and Broad Inhibition.,Antolik J et al.
2021 Jul 28,BMJ Case Rep,Multiorgan thrombosis as a complication of COVID-19 pneumonia.,Mallia Azzopardi C et al.
2021,Braz J Med Biol Res,Stereotactic biopsy for lesions in brainstem and deep brain: a single-center experience of 72 cases.,Lu Z et al.
2021 Oct,Acta Neuropathol,Comparing amyloid-β plaque burden with antemortem PiB PET in autosomal dominant and late-onset Alzheimer disease.,Benzinger TLS et al.
2021 Oct,Neural Netw,Optimal attention tuning in a neuro-computational model of the visual cortex-basal ganglia-prefrontal cortex loop.,Hamker FH et al.
2021 Jul 27,J Med Case Rep,Hypertensive cerebral hemorrhage with undetectable plasma vascular endothelial growth factor levels in a patient receiving intravitreal injection of aflibercept for bilateral diabetic macular edema: a case report.,Matsumoto S et al.
2021 Jul 26,IEEE Trans Neural Netw Learn Syst,Granger Causality Inference in EEG Source Connectivity Analysis: A State-Space Approach.,Songsiri J et al.
2021 Jul 26,Folia Morphol (Warsz),Anatomy of parotid gland and it's secretory ducts in sheep.,Aycan K et al.
2021,Comput Intell Neurosci,A Study of the Brain Network Connectivity in Visual-Word Pairing Associative Learning and Episodic Memory Reactivating Task.,Sun Z et al.
2021 Aug,Indian J Ophthalmol,Sudden bilateral vision loss in a COVID-19 patient: A case report.,Demiryürek BE et al.
2021 Oct 15,Hum Brain Mapp,Structural and functional brain alterations in anorexia nervosa:A multimodal meta-analysis of neuroimaging studies.,Wang Y et al.
2021 Aug 16,Med J Aust,Cerebral gnathostomiasis.,Hanson J et al.
2021 Jul,J Neurosci Rural Pract,Clinicoradiological Features and Treatment Outcome of Supratentorial Intraparenchymal Epidermoid Cyst: A Report of Five Cases and Literature Review.,Behari S et al.
2021 Jul 22,Nat Commun,Decision-related feedback in visual cortex lacks spatial selectivity.,Nienborg H et al.
